timestamp,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy
2024-09-16,59132.0000000000,59210.7000000000,57493.3000000000,58213.9900000000,26477.5642000000,2459.4563411600,0.3807335400,0.0054579500,13.5654799600,0.0000006900
2024-09-17,58213.9900000000,61320.0000000000,57610.0100000000,60313.9900000000,33116.2587800000,-1235.2061761200,0.3658944200,0.0038681600,8.3576640500,0.0000004200
2024-09-18,60313.9900000000,61786.2400000000,59174.8000000000,61759.9900000000,36087.0246900000,273.2907510300,0.4742423300,0.0022675800,13.9620109500,0.0000007100
2024-09-19,61759.9800000000,63850.0000000000,61555.0000000000,62947.9900000000,34332.5260800000,-933.7751756400,0.3597206900,0.0041551600,9.3617311400,0.0000004700
2024-09-20,62948.0000000000,64133.3200000000,62350.0000000000,63201.0500000000,25466.3779400000,590.3745626600,0.3175503500,0.0044297000,14.3827698400,0.0000007300
2024-09-21,63201.0500000000,63559.9000000000,62758.0000000000,63348.9600000000,8375.3460800000,1505.6160566000,0.4175197500,0.0085689500,9.5781996200,0.0000004800
2024-09-22,63348.9700000000,64000.0000000000,62357.9300000000,63578.7600000000,14242.1989200000,653.6375335700,0.5142271100,0.0073482800,8.3559280900,0.0000004200
2024-09-23,63578.7600000000,64745.8800000000,62538.7500000000,63339.9900000000,24078.0528700000,2681.7748323400,0.3622354400,0.0043965100,14.9678739500,0.0000007600
2024-09-24,63339.9900000000,64688.0000000000,62700.0000000000,64262.7000000000,23185.0475900000,-4341.1503287600,0.4945788900,0.0014084000,8.4016323700,0.0000004300
2024-09-25,64262.7000000000,64817.9900000000,62947.0800000000,63152.0100000000,17813.1116800000,-1261.5716879800,0.4516499300,0.0014713900,15.0429618500,0.0000007600
2024-09-26,63152.0100000000,65839.0000000000,62670.0000000000,65173.9900000000,28373.3059300000,-1865.4196432000,0.4000791400,0.0069423400,19.2573042700,0.0000009700
2024-09-27,65173.9900000000,66498.0000000000,64819.9000000000,65769.9500000000,22048.8048700000,-2461.6776278000,0.3783464300,0.0051716600,10.4428835300,0.0000005300
2024-09-28,65769.9500000000,66260.0000000000,65422.2300000000,65858.0000000000,9127.2331600000,642.9862458200,0.3942886700,0.0053893900,10.3218566900,0.0000005200
2024-09-29,65858.0000000000,66076.1200000000,65432.0000000000,65602.0100000000,8337.7411100000,275.5946720700,0.5208514000,0.0048962300,6.8449243700,0.0000003500
2024-09-30,65602.0100000000,65618.8000000000,62856.3000000000,63327.5900000000,30011.0875200000,2538.6251728000,0.3206515600,0.0074851100,8.5593846700,0.0000004300
2024-10-01,63327.6000000000,64130.6300000000,60164.0000000000,60805.7800000000,43671.4810800000,5088.8610473800,0.4120750300,0.0092869900,5.6397231200,0.0000002900
2024-10-02,60804.9200000000,62390.3100000000,60000.0000000000,60649.2800000000,31534.7011800000,1346.0748005300,0.5328462700,0.0068861000,7.6800109300,0.0000003900
2024-10-03,60649.2700000000,61477.1900000000,59828.1100000000,60752.7100000000,26221.4347200000,1404.2023278900,0.3893332500,0.0061295000,8.8478812100,0.0000004500
2024-10-04,60752.7200000000,62484.8500000000,60459.9000000000,62086.0000000000,21294.6599400000,-932.5155990400,0.4387684200,0.0017398800,11.1543806700,0.0000005600
2024-10-05,62086.0000000000,62370.5600000000,61689.2600000000,62058.0000000000,7807.4614100000,-1160.5605078200,0.4460923900,0.0006847600,7.1910579100,0.0000003600
2024-10-06,62058.0100000000,62975.0000000000,61798.9700000000,62819.9100000000,8906.8617700000,-1448.9188417100,0.4957285700,0.0027990500,5.8725109700,0.0000003000
2024-10-07,62819.9100000000,64478.1900000000,62128.0000000000,62224.0000000000,25966.1852000000,-2727.7410132100,0.4031591100,0.0013873900,6.9555088700,0.0000003500
2024-10-08,62224.0100000000,63200.0000000000,61860.3100000000,62160.4900000000,19702.2237100000,1358.8074786400,0.3144491900,0.0066402300,77.7759616600,0.0000039400
2024-10-09,62160.5000000000,62543.7500000000,60301.0000000000,60636.0200000000,20011.1568400000,1932.8540881600,0.4286577900,0.0071918100,14.0119467400,0.0000007100
2024-10-10,60636.0100000000,61321.6800000000,58946.0000000000,60326.3900000000,23967.9248100000,1393.0017025600,0.4953621600,0.0046378500,13.4815968400,0.0000006800
2024-10-11,60326.4000000000,63417.5600000000,60087.6400000000,62540.0000000000,23641.3520900000,-4015.7084415800,0.4790818500,-0.0009535400,46.1211538900,0.0000023300
2024-10-12,62539.9900000000,63480.0000000000,62487.2300000000,63206.2200000000,10911.3011600000,-1583.0386981000,0.4011831600,0.0026906600,19.1211393700,0.0000009700
2024-10-13,63206.2300000000,63285.7200000000,62050.0000000000,62870.0200000000,11909.2199500000,-410.3378749300,0.4391948100,0.0030220000,17.6448339300,0.0000008900
2024-10-14,62870.0200000000,66500.0000000000,62457.8100000000,66083.9900000000,37669.9522200000,1028.6660811600,0.3051257400,0.0085831600,16.5465819000,0.0000008400
2024-10-15,66084.0000000000,67950.0000000000,64800.0100000000,67074.1400000000,43683.9542300000,-2590.4598699900,0.2832643000,0.0096403100,31.6331014500,0.0000016000
2024-10-16,67074.1400000000,68424.0000000000,66750.4900000000,67620.0100000000,29938.2554400000,-151.5818559500,0.4535619000,0.0096931900,11.9178943800,0.0000006000
2024-10-17,67620.0000000000,67939.4000000000,66666.0000000000,67421.7800000000,25328.2286100000,3309.3244723500,0.3159248500,0.0099550900,17.5040331600,0.0000008900
2024-10-18,67421.7800000000,69000.0000000000,67192.3600000000,68428.0000000000,28725.6350000000,-3150.3008307200,0.4079218800,0.0100000000,18.6951444700,0.0000009500
2024-10-19,68427.9900000000,68693.2600000000,68010.0000000000,68378.0000000000,8193.6673700000,618.9765638400,0.3609587500,0.0100000000,28.6308989500,0.0000014500
2024-10-20,68377.9900000000,69400.0000000000,68100.0000000000,69031.9900000000,12442.4737800000,-109.7561549800,0.4491429200,0.0100000000,51.5442042600,0.0000026100
2024-10-21,69032.0000000000,69519.5200000000,66840.6700000000,67377.5000000000,31374.4218400000,1853.5740076600,0.2930560100,0.0100000000,39.7915189100,0.0000020100
2024-10-22,67377.5000000000,67836.0100000000,66571.4200000000,67426.0000000000,24598.9626800000,1503.6973977600,0.5053683800,0.0100000000,11.4487165000,0.0000005800
2024-10-23,67426.0100000000,67472.8300000000,65260.0000000000,66668.6500000000,25530.2407000000,1821.6481844200,0.4521724600,0.0100000000,14.9285096700,0.0000007600
2024-10-24,66668.6500000000,68850.0000000000,66510.0000000000,68198.2800000000,22589.8387700000,-2119.5647771000,0.4833362500,0.0100000000,10.5959368100,0.0000005400
2024-10-25,68198.2700000000,68771.4900000000,65596.2900000000,66698.3300000000,34479.7112500000,-1040.3565002200,0.4175682500,0.0092964100,16.8478112700,0.0000008500
2024-10-26,66698.3200000000,67454.5500000000,66439.9000000000,67092.7600000000,11842.9077000000,870.9729620200,0.3959316800,0.0092603800,13.1205827800,0.0000006600
2024-10-27,67092.7600000000,68332.0500000000,66913.7300000000,68021.7000000000,8653.1959200000,1658.5475745100,0.6570374200,0.0097404400,14.6030157400,0.0000007400
2024-10-28,68021.6900000000,70270.0000000000,67618.0000000000,69962.2100000000,29046.7545900000,-1054.0303289400,0.3506179700,0.0098079400,13.8209234400,0.0000007000
2024-10-29,69962.2100000000,73620.1200000000,69760.0000000000,72736.4200000000,50128.6059400000,2959.3408613700,0.2994043200,0.0100000000,17.3807391400,0.0000008800
2024-10-30,72736.4100000000,72961.0000000000,71436.0000000000,72344.7400000000,26885.9905600000,-2097.7822215300,0.3283650200,0.0100000000,12.3969922400,0.0000006300
2024-10-31,72344.7500000000,72700.0000000000,69685.7600000000,70292.0100000000,29352.1029700000,3666.5271748100,0.4368722500,0.0100000000,12.6185805900,0.0000006400
